Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
21,tt3741634,2021-12-15,2021-12-15,,"Токийский гуль","Tokyo Ghoul",https://www.imdb.com/title/tt3741634/,TV Mini Series,7.7,24,2014,"Animation, Action, Drama, Fantasy, Horror, Thriller",77208,2014-07-03,
22,tt0423731,2021-12-14,2021-12-14,,"Самурай Чамплу","Samurai Chanpurû",https://www.imdb.com/title/tt0423731/,TV Series,8.5,24,2004,"Animation, Action, Adventure, Comedy, Drama, Thriller",61699,2004-05-19,
23,tt2250192,2021-12-14,2021-12-14,,"Мастера Меча Онлайн","Sword Art Online",https://www.imdb.com/title/tt2250192/,TV Series,7.5,24,2012,"Animation, Action, Adventure, Fantasy, Romance, Sci-Fi, Thriller",60025,2012-06-24,
24,tt0168366,2021-12-14,2021-12-14,,"Покемон","Poketto monsutâ",https://www.imdb.com/title/tt0168366/,TV Series,7.6,24,1997,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",53045,2000-12-18,
25,tt12343534,2021-12-14,2021-12-14,,"Магическая битва","Jujutsu Kaisen",https://www.imdb.com/title/tt12343534/,TV Series,8.5,24,2020,"Animation, Action, Adventure, Fantasy, Thriller",170380,2020-10-02,
26,tt0318871,2021-12-14,2021-12-14,,"Берсерк","Kenpuu Denki Berserk",https://www.imdb.com/title/tt0318871/,TV Series,8.7,23,1997,"Animation, Action, Adventure, Drama, Fantasy, Horror, Romance",71750,1997-10-07,
27,tt3358020,2021-12-14,2021-12-14,,"Паразит","Kiseijû: Sei no kakuritsu",https://www.imdb.com/title/tt3358020/,TV Series,8.2,22,2014,"Animation, Action, Drama, Horror, Sci-Fi, Thriller",59146,2014-10-09,
28,tt8788458,2021-12-14,2021-12-14,,"Обещанный Неверленд","Yakusoku no Neverland",https://www.imdb.com/title/tt8788458/,TV Series,8.1,23,2019,"Animation, Action, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",55403,2019-01-09,
29,tt3909224,2021-12-14,2021-12-14,,"Семь смертных грехов","Nanatsu no taizai",https://www.imdb.com/title/tt3909224/,TV Series,7.7,24,2014,"Animation, Action, Adventure, Comedy, Fantasy",43955,2014-09-01,
30,tt4644488,2021-12-14,2021-12-14,,"Драконий жемчуг супер","Dragon Ball Super: Doragon bôru cho",https://www.imdb.com/title/tt4644488/,TV Series,8.3,24,2015,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",43096,2015-07-05,
31,tt0434706,2021-12-14,2021-12-14,,"Монстр","Monster",https://www.imdb.com/title/tt0434706/,TV Series,8.7,24,2004,"Animation, Crime, Drama, Mystery, Thriller",63204,2004-04-06,
32,tt10233448,2021-12-14,2021-12-14,,"Сага о Винланде","Vinland Saga",https://www.imdb.com/title/tt10233448/,TV Series,8.8,24,2019,"Animation, Action, Adventure, Drama, History",114991,2019-07-07,
33,tt3895150,2021-12-14,2021-12-14,,"Твоя апрельская ложь","Shigatsu wa kimi no uso",https://www.imdb.com/title/tt3895150/,TV Series,8.5,23,2014,"Animation, Comedy, Drama, Music, Romance",46487,2014-09-01,
34,tt5897304,2021-12-14,2021-12-14,,"Моб Психо 100","Mob Psycho 100",https://www.imdb.com/title/tt5897304/,TV Series,8.5,24,2016,"Animation, Action, Comedy, Drama, Fantasy, Horror, Sci-Fi",60874,2016-07-11,
35,tt1528406,2021-12-14,2021-12-14,,"Сказка о хвосте феи","Fairy Tail",https://www.imdb.com/title/tt1528406/,TV Series,7.9,24,2009,"Animation, Action, Adventure, Comedy, Family, Fantasy",31282,2009-10-06,
36,tt1409055,2021-12-14,2021-12-14,,"Драконий жемчуг Кай","Dragon Ball Kai: Doragon bôru kai",https://www.imdb.com/title/tt1409055/,TV Series,8.3,24,2009,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",27359,2009-04-05,
37,tt3742982,2021-12-14,2021-12-14,,"Убийца Акаме!","Akame ga Kill!",https://www.imdb.com/title/tt3742982/,TV Series,7.7,24,2014,"Animation, Action, Comedy, Drama, Fantasy, Horror, Thriller",35671,2014-06-01,
38,tt0251439,2021-12-14,2021-12-14,,"Триган","Trigun",https://www.imdb.com/title/tt0251439/,TV Series,8.2,24,1998,"Animation, Action, Adventure, Comedy, Drama, Sci-Fi",25915,1998-04-01,
